#SUBMITTED ID	DROSOPHILA_ORTHOLOGS
AttA	Dgri\GH20752 <newline> Dere\GG20476 <newline> Dere\GG20477 <newline> Dsim\AttB <newline> Dsim\AttA <newline> Dyak\GE13607 <newline> Dyak\AttA <newline> Dper\GL23282 <newline> Dper\GL11458 <newline> Dper\GL23315 <newline> Dwil\GK19632 <newline> Dsec\GM21567 <newline> Dpse\GA27207 <newline> Dpse\GA10109 <newline> Dpse\GA27220 <newline> Dvir\GJ20571 <newline> Dvir\GJ20572 <newline> AttA <newline> AttB <newline> Dana\GF11339 <newline> Dmoj\GI20837 <newline> Dsuz\DS10_00002558
AttC	Dgri\GH21628 <newline> Dgri\GH23752 <newline> Dere\GG20378 <newline> Dsim\AttC <newline> Dyak\GE12538 <newline> Dwil\GK17822 <newline> Dsec\GM21465 <newline> Dvir\GJ21173 <newline> AttC <newline> Dana\GF13689 <newline> Dmoj\GI20082 <newline> Dsuz\DS10_00006586
Ccp84Ac	Dgri\GH19486 <newline> Dere\GG10291 <newline> Dsim\GD19528 <newline> Dyak\GE25836 <newline> Dper\GL22049 <newline> Dwil\GK10833 <newline> Dsec\GM10533 <newline> Dpse\GA12160 <newline> Dvir\GJ23939 <newline> Ccp84Ac <newline> Dana\GF17800 <newline> Dmoj\GI23756 <newline> Dsuz\DS10_00012056
Ccp84Ag	Dgri\GH18126 <newline> Dere\GG13621 <newline> Dsim\GD19890 <newline> Dyak\GE24879 <newline> Dper\GL21769 <newline> Dwil\GK12247 <newline> Dsec\GM10910 <newline> Dpse\GA15354 <newline> Dvir\GJ23300 <newline> Ccp84Ag <newline> Dana\GF17185 <newline> Dmoj\GI23841
CecA2	Dgri\GH19151 <newline> Dgri\GH19153 <newline> Dgri\GH23329 <newline> Dgri\GH19152 <newline> Dgri\GH18419 <newline> Dgri\GH23207 <newline> Dere\GG11739 <newline> Dsim\CecA1 <newline> Dsim\CecC <newline> Dyak\GE10866 <newline> Dyak\GE10867 <newline> Dwil\GK14120 <newline> Dwil\GK14123 <newline> Dwil\GK14124 <newline> Dsec\CecA1 <newline> Dsec\CecC <newline> Dpse\CecI <newline> Dpse\CecII <newline> Dvir\Cec2A <newline> Dvir\Cec3 <newline> Dvir\Cec1 <newline> Dvir\Cec2B <newline> CecA2 <newline> CecC <newline> CecA1 <newline> Dana\GF18827 <newline> Dmoj\GI26214 <newline> Dmoj\GI26094 <newline> Dmoj\GI23259 <newline> Dsuz\DS10_00013053 <newline> Dsuz\DS10_00009443
CecB	Dere\GG11950 <newline> Dsim\CecB <newline> Dyak\GE23398 <newline> Dwil\GK14122 <newline> Dsec\CecB <newline> CecB <newline> Dana\GF16190 <newline> Dmoj\GI26975 <newline> Dsuz\DS10_00009445
CG10280	Dgri\GH14288 <newline> Dere\GG10655 <newline> Dsim\GD19567 <newline> Dyak\GE24122 <newline> Dper\GL23488 <newline> Dwil\GK14213 <newline> Dsec\GM10577 <newline> Dpse\GA10216 <newline> Dvir\GJ14498 <newline> CG10280 <newline> Dana\GF18633 <newline> Dmoj\GI23183 <newline> Dsuz\DS10_00008664
CG10407	Dgri\GH18842 <newline> Dere\GG20212 <newline> Dsim\GD20311 <newline> Dyak\GE26341 <newline> Dper\GL12408 <newline> Dwil\GK14019 <newline> Dsec\GM25738 <newline> Dpse\GA10301 <newline> Dvir\GJ23840 <newline> CG10407 <newline> Dana\GF11323 <newline> Dmoj\GI10103 <newline> Dsuz\DS10_00008772 <newline> Dsuz\DS10_00012918
CG10592	Dgri\GH16243 <newline> Dere\GG14123 <newline> Dsim\GD13186 <newline> Dyak\GE20547 <newline> Dper\GL12007 <newline> Dwil\GK16879 <newline> Dsec\GM13909 <newline> Dpse\GA10422 <newline> Dvir\GJ11955 <newline> Alp10 <newline> Dana\GF10455 <newline> Dmoj\GI13179 <newline> Dsuz\DS10_00008112
CG10814	Dgri\GH20273 <newline> Dere\GG22499 <newline> Dsim\GD25765 <newline> Dyak\GE13368 <newline> Dper\GL11099 <newline> Dwil\GK17984 <newline> Dsec\GM20285 <newline> Dpse\GA10576 <newline> Dvir\GJ21194 <newline> CG10814 <newline> Dana\GF11192 <newline> Dmoj\GI19441 <newline> Dsuz\DS10_00006588
